date,fiscal_year,quarter
01-04-2021,2022,Q1
01-05-2021,2022,Q1
01-06-2021,2022,Q1
01-07-2021,2022,Q2
01-08-2021,2022,Q2
01-09-2021,2022,Q2
01-10-2021,2022,Q3
01-11-2021,2022,Q3
01-12-2021,2022,Q3
01-01-2022,2022,Q4
01-02-2022,2022,Q4
01-03-2022,2022,Q4
01-04-2022,2023,Q1
01-05-2022,2023,Q1
01-06-2022,2023,Q1
01-07-2022,2023,Q2
01-08-2022,2023,Q2
01-09-2022,2023,Q2
01-10-2022,2023,Q3
01-11-2022,2023,Q3
01-12-2022,2023,Q3
01-01-2023,2023,Q4
01-02-2023,2023,Q4
01-03-2023,2023,Q4
01-04-2023,2024,Q1
01-05-2023,2024,Q1
01-06-2023,2024,Q1
01-07-2023,2024,Q2
01-08-2023,2024,Q2
01-09-2023,2024,Q2
01-10-2023,2024,Q3
01-11-2023,2024,Q3
01-12-2023,2024,Q3
01-01-2024,2024,Q4
01-02-2024,2024,Q4
01-03-2024,2024,Q4
